online,local_hour,free_sh_share,avg_eta_hours,city_area,hour,day_of_week,month,tariff_zone_abidjan,tariff_zone_lahore,tariff_zone_lima
451.0,2025-05-03 07:00:00,0.9083096009197406,0.3082074092950519,600,7,5,5,0,0,1
618.0,2025-05-06 14:00:00,0.6523759069510051,0.4049439731943266,600,14,1,5,0,0,1
30.0,2025-05-19 01:00:00,0.5652929404950465,0.2012449975268672,400,1,0,5,1,0,0
96.0,2025-05-19 13:00:00,0.4594690840171699,0.2963663763482133,650,13,0,5,0,1,0
556.0,2025-05-05 15:00:00,0.6093920134855008,0.4260262077179018,600,15,0,5,0,0,1
22.0,2025-05-17 03:00:00,0.8958690877141602,0.1629994658119658,650,3,5,5,0,1,0
215.0,2025-05-12 01:00:00,0.9851835267539178,0.0816544566544566,600,1,0,5,0,0,1
16.0,2025-05-14 02:00:00,0.6408662510882003,0.3449350923164965,400,2,2,5,1,0,0
265.0,2025-05-06 07:00:00,0.5181344613929297,0.3978013293973715,400,7,1,5,1,0,0
237.0,2025-05-09 05:00:00,0.982237895848534,0.2023504273504273,600,5,4,5,0,0,1
169.0,2025-05-05 02:00:00,0.9890875225548592,0.1538821548821549,600,2,0,5,0,0,1
129.0,2025-05-13 19:00:00,0.6298404996901169,0.3372030286543344,650,19,1,5,0,1,0
758.0,2025-05-14 19:00:00,0.8117125741982393,0.5332124640861361,600,19,2,5,0,0,1
674.0,2025-05-07 15:00:00,0.2676562899753006,0.3081355441669823,400,15,2,5,1,0,0
101.0,2025-05-03 13:00:00,0.4945679066142467,0.3076495402624876,650,13,5,5,0,1,0
40.0,2025-05-07 05:00:00,0.5396706088782317,0.3286292388519821,400,5,2,5,1,0,0
810.0,2025-05-06 19:00:00,0.7388267910246693,0.4385224608695884,600,19,1,5,0,0,1
30.0,2025-05-10 02:00:00,0.6101708644433106,0.1823017794998744,400,2,5,5,1,0,0
319.0,2025-05-10 02:00:00,0.9779237963563456,0.1596809309309309,600,2,5,5,0,0,1
125.0,2025-05-07 19:00:00,0.5765473937357553,0.3101788013849155,650,19,2,5,0,1,0
315.0,2025-05-05 06:00:00,0.9648070661704568,0.3152820901958832,600,6,0,5,0,0,1
560.0,2025-05-13 22:00:00,0.883550288929555,0.2233368457300275,600,22,1,5,0,0,1
104.0,2025-05-06 13:00:00,0.4778820655182049,0.2942670782352369,650,13,1,5,0,1,0
735.0,2025-05-18 15:00:00,0.7972834015348246,0.2257340740660431,600,15,6,5,0,0,1
